"Index" "Row.names" "DJI.Close" "MMM" "AXP" "AAPL" "BA" "CAT" "CVX" "CSCO" "KO" "DIS" "XOM" "GE" "GS" "HD" "IBM" "INTC" "JNJ" "JPM" "MCD" "MRK" "MSFT" "NKE" "PFE" "PG" "TRV" "UTX" "UNH" "VZ" "V" "WMT"
82 "2013-04-30" 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0
83 "2013-05-01" 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 1 1 1
84 "2013-05-02" 1 0 0 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 1
85 "2013-05-03" 1 0 0 1 1 1 0 0 1 1 1 0 0 1 1 0 1 0 0 1 1 1 1 0 0 0 0 0 1 1
86 "2013-05-06" 1 0 0 1 0 1 1 0 1 1 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 1 1 1 0
87 "2013-05-07" 1 0 1 1 1 1 0 1 1 1 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 1 1
88 "2013-05-08" 0 1 0 1 0 1 0 0 1 1 0 1 1 0 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0
89 "2013-05-09" 1 1 0 1 1 0 1 0 0 1 1 0 1 1 0 1 0 1 0 0 1 0 0 0 0 1 1 0 1 1
90 "2013-05-10" 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 1
91 "2013-05-13" 1 1 0 1 1 0 0 1 1 0 0 0 1 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0
92 "2013-05-14" 1 0 0 1 1 1 0 0 1 1 0 0 1 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 1 0
